# Ensemble
-2.691674 -2.107557
-1.519901 -1.253226
-1.932521 -1.552796
-1.198570 -2.409126
-1.086101 -1.548092
-2.725581 -2.254331
-2.432343 -1.648005
-1.787834 -1.032706
-1.111550 -2.036940
-1.294529 -1.174922
-1.895925 -1.185465
-2.029245 -1.631350
-1.463732 -1.084543
-2.678566 -2.087898
-1.470879 -1.873718
-2.380205 -1.594121
-1.657095 -2.000110
-2.057540 -2.594679
-1.367663 -1.741271
-1.594755 -2.671264
-1.043884 -2.564717
-1.750836 -1.026878
-1.099373 -2.654316
-1.465049 -2.756792
-1.349982 -1.909073
-2.186719 -2.156551
-2.097383 -1.783484


# Hull
-1.099373 -2.654316
-1.465049 -2.756792
-2.057540 -2.594679
-2.725581 -2.254331
-2.691674 -2.107557
-2.432343 -1.648005
-2.380205 -1.594121
-1.787834 -1.032706
-1.750836 -1.026878
-1.463732 -1.084543
-1.294529 -1.174922
-1.086101 -1.548092
-1.043884 -2.564717
-1.099373 -2.654316
-1.099373 -2.654316
